"AC","Description","Fortitude","HP","Initiative","Other Abilities","Other Health","Reflex","Senses","Speed","Will","id","name"
"29","Large aberrant magical beast (aquatic) XP 1,600 ","27","200","+11",", swim 10Tentacle (standard; at-will) Reach 2; +20 vs. AC; 2d8 + 8 damage (4d8 + 8 damage against a dazed target), and the target is dazed (save ends). Combat Advantage An aboleth lasher makes an extra tentacle attack against any enemy it has combat advantage against. Alignment Evil Languages Deep Speech, telepathy 20 Skills Arcana +19, Dungeoneering +19, Insight +19 Str 26 (+16) Dex 16 (+11) Wis 22 (+14) Con 20 (+13) Int 23 (+14) Cha 17 (+11)","HP 200; Bloodied 100 ","25","Perception +14; darkvision Mucus Haze aura 5; enemies treat the area within the aura as difficult terrain. ","5","25","0",""
"31","Large aberrant magical beast (aquatic) XP 1,600 ","28","128","+11",", swim 10Tentacle (standard; at-will) Reach 2; +19 vs. AC; 1d8 + 6 damage (3d8 + 6 damage against a dazed target), and the target is dazed (save ends). R Slime Orb (standard; at-will)  Psychic Ranged 10; +22 vs. Reflex; 2d8 + 7 psychic damage, and the target is slowed (save ends). R Dominate (standard; at-will)  Charm Ranged 10; targets a dazed humanoid; +20 vs. Will; the target is dominated (save ends). An aboleth slime mage can dominate only one creature at a time. A Slime Burst (standard; encounter)  Psychic Area burst 4 within 10; targets enemies; +17 vs. Reflex; 2d8 + 7 psychic damage, and the target is immobilized (save ends). Aftereffect: The target is slowed (save ends). Alignment Evil Languages Deep Speech, telepathy 20 Skills Arcana +19, Dungeoneering +20, Insight +20 Str 23 (+14) Dex 16 (+11) Wis 25 (+15) Con 20 (+13) Int 23 (+14) Cha 20 (+13)","HP 128; Bloodied 64 ","28","Perception +15; darkvision Mucus Haze aura 5; enemies treat the area within the aura as difficult terrain. ","5","29","1",""
"35","Large aberrant magical beast (aquatic) XP 4,000 ","33","348","+12",", swim 10 Action Points 1Tentacle (standard; at-will) Reach 2; +22 vs. AC; 1d8 + 8 damage (3d8 + 8 damage against a dazed target), and the target is dazed (save ends). C Psychic Slime (standard; encounter; recharges when first bloodied)  Psychic Close burst 10; targets enemies; +20 vs. Will; 2d8 + 8 psychic damage, and the target is dazed (save ends). R Dominate (standard; at-will)  Charm Ranged 10; targets a dazed humanoid; +20 vs. Will; the target is dominated (save ends). An aboleth overseer can dominate only one creature at a time. R Enslave (standard; at-will)  Charm, Psychic Ranged 5; targets a dominated creature; +20 vs. Will; 6d8 + 8 psychic damage. A target reduced to 0 hit points or fewer by this attack doesn't die but becomes enslaved in preparation for the Aboleth Servitor ritual. Enslaved targets are dominated, and only the death of the overseer can end this domination. Once a creature is enslaved, an aboleth overseer is free to dominate other creatures. Invisibility (minor; encounter)  Illusion The aboleth overseer and one ally within 10 squares of it turn invisible until the end of the aboleth overseer's next turn. Alignment Evil Languages Deep Speech, telepathy 20 Skills Arcana +20, Dungeoneering +21, Insight +21 Str 26 (+17) Dex 16 (+12) Wis 25 (+16) Con 22 (+15) Int 23 (+15) Cha 22 (+15)","HP 348; Bloodied 174 ","31","Perception +16; darkvision Mucus Haze aura 5; enemies treat the area within the aura as difficult terrain. ","5","33","2",""
"30","Medium aberrant humanoid (aquatic) XP 350 ","28","1","+10",", swim 6Slam (standard; at-will) +19 vs. AC; 7 damage. Aboleth Devotion An aboleth servitor gains a +2 bonus to attack rolls against enemies in an aboleth's mucus haze aura. If an aboleth servitor is ever more than 10 squares from its aboleth master, the servitor becomes dazed, weakened, and immobilized until its master moves within 10 squares of it. Alignment Unaligned Languages Common Str 24 (+15) Dex 15 (+10) Wis 10 (+8) Con 20 (+13) Int 10 (+8) Cha 10 (+8)","HP 1; a missed attack never damages a minion. ","23","Perception +8; darkvision ","6","21","3",""
"38","Medium immortal humanoid XP 8,300 ","32","314","+23",", climb 6 Action Points 1Claw (standard; at-will) +27 vs. AC; 2d6 + 8 damage, and the astral stalker can choose to designate the target as its quarry (see stalker's quarry). r Throat Dart (standard; at-will)  Poison Ranged 5/10; +29 vs. AC; 1d10 + 8 damage, and the target takes ongoing 5 poison damage and is slowed (save ends both). First Failed Save: The target is immobilized instead of slowed (save ends). Second Failed Save: The target is stunned instead of immobilized (save ends). M Quick Claws (standard; at-will) Against a slowed or an immobilized target, the astral stalker makes two claw attacks. Combat Advantage The astral stalker's melee attacks deal an extra 2d6 damage against any target it has combat advantage against. Invisibility (standard; at-will)  Illusion The astral stalker turns invisible until it attacks. Stalker's Quarry (minor; at-will) The astral stalker knows the exact location of a creature it has designated as its quarry. The astral stalker can have only one quarry at a time, but the power works across any distance and even crosses planar boundaries. Alignment Evil Languages Supernal Skills Stealth +24 Str 22 (+17) Dex 26 (+19) Wis 15 (+13) Con 19 (+15) Int 8 (+10) Cha 10 (+11)","HP 314; Bloodied 157 ","38","Perception +18; blindsight 10 ","10","32","4",""
"41","Medium elemental humanoid XP 5,100 ","36","220","+21",", fly 10Claws (standard; at-will) +28 vs. AC; 2d8 + 10 damage. M Bloodthirsty Bite (standard; at-will)  Healing Requires combat advantage; +28 vs. AC; 1d8 + 10 damage, and the target is grabbed and takes ongoing 10 damage (until escape). Also, the blood fiend regains 10 hit points. C Terror Gaze (minor; at-will)  Fear Close blast 3; +24 vs. Will; the target is immobilized (save ends). Combat Advantage The blood fiend gains combat advantage against any living, bloodied enemy. Alignment Chaotic evil Languages Primordial Skills Intimidate +24 Str 30 (+21) Dex 26 (+19) Wis 24 (+18) Con 28 (+20) Int 22 (+17) Cha 27 (+19)","HP 220; Bloodied 110 ","34","Perception +23; darkvision ","8","32","5",""
"41","Large immortal magical beast XP 18,000 ","38","478","+23",", fly 10 Action Points 1Temporal Touch (standard; at-will) Reach 2; +29 vs. Reflex; 2d8 + 10 damage, and the target is slowed until the end of the phane's next turn. The phane shifts 4 squares before or after making this attack. R Wizening Ray (standard; at-will) Ranged 10; +29 vs. Fortitude; 2d6 + 9 damage, and the target is dazed and weakened (save ends both). Aftereffect: The target is weakened (save ends). The target appears elderly until the eff ects of the wizening ray end. C Wizening Tempest (standard, usable only while the phane is bloodied; at-will) Close burst 1; phanes are immune; +29 vs. Fortitude; 2d6 + 10 damage, and the target is stunned (save ends). Aftereffect: The target is dazed and weakened (save ends both). The target appears elderly until the effects of the wizening tempest end. Temporal Fugue (minor; at-will) By moving backward and forward in time, a phane can remove one effect afflicting it. Alignment Unaligned Languages Supernal Str 24 (+20) Dex 30 (+23) Wis 25 (+20) Con 23 (+19) Int 28 (+22) Cha 22 (+19)","HP 478; Bloodied 239 ","41","Perception +25; darkvision ","10","38","6",""
"25","Medium immortal humanoid (angel) ","25","1","+9",", fly 9 (hover)Greatsword (standard; at-will)  Fire , Weapon +16 vs. AC; 6 fire damage. Alignment Any Languages Supernal Str 23 (+11) Dex 18 (+9) Wis 14 (+7) Con 16 (+8) Int 11 (+5) Cha 16 (+8) Equipment chainmail, greatsword","HP 1; a missed attack never damages a minion. ","23","Perception +7 ","6","22","7",""
"35","Medium immortal humanoid (angel) ","35","1","+14",", fly 9 (hover)Greatsword (standard; at-will)  Fire , Weapon +26 vs. AC; 9 fire damage. Alignment Any Languages Supernal Str 26 (+18) Dex 18 (+14) Wis 14 (+12) Con 18 (+14) Int 12 (+11) Cha 16 (+13) Equipment chainmail, greatsword","HP 1; a missed attack never damages a minion. ","31","Perception +12 ","6","30","8",""
"30","Medium immortal humanoid (angel) ","30","1","+12",", fly 9 (hover)Greatsword (standard; at-will)  Fire , Weapon +21 vs. AC; 7 fire damage. Alignment Any Languages Supernal Str 24 (+15) Dex 18 (+12) Wis 14 (+10) Con 18 (+12) Int 12 (+9) Cha 16 (+11) Equipment chainmail, greatsword","HP 1; a missed attack never damages a minion. ","27","Perception +10 ","6","26","9",""
